HCHO reading,Location,Current Date,Next Date,Pre Pandemic,Pandemic,Post Pandemic,Autumn,Spring,Summer,Monsoon
0.0002625522171968,Colombo Proper,2019-01-02,2019-01-03,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,9.22e-05,,,
9.852118897938794e-05,Colombo Proper,2019-01-03,2019-01-04,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,9.22e-05,,,
0.0002099320518114,Colombo Proper,2019-01-04,2019-01-05,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000190868,,,
0.0001785337298892,Colombo Proper,2019-01-05,2019-01-06,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000121952,,,
0.0001082296700235,Colombo Proper,2019-01-06,2019-01-07,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,-2.6519406848533556e-05,,,
0.00026808689391646885,Colombo Proper,2019-01-07,2019-01-08,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000163238,,,
9.153156350685353e-05,Colombo Proper,2019-01-08,2019-01-09,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,-2.6519406848533556e-05,,,
0.0001205978992853,Colombo Proper,2019-01-09,2019-01-10,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000127969,,,
0.0001297723562983,Colombo Proper,2019-01-10,2019-01-11,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,4.55e-05,,,
0.0002239188166801,Colombo Proper,2019-01-11,2019-01-12,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,3.6e-05,,,
0.0001569418094178,Colombo Proper,2019-01-12,2019-01-13,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000128663,,,
0.0001569418094178,Colombo Proper,2019-01-13,2019-01-14,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000128663,,,
0.0001336291906862,Colombo Proper,2019-01-14,2019-01-15,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000128663,,,
6.374417842690063e-05,Colombo Proper,2019-01-15,2019-01-16,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,9.64e-05,,,
0.0001181062250815,Colombo Proper,2019-01-16,2019-01-17,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,9.64e-05,,,
0.0002472555222423,Colombo Proper,2019-01-17,2019-01-18,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000120097,,,
3.667525352047757e-05,Colombo Proper,2019-01-18,2019-01-19,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,-2.6519406848533556e-05,,,
0.00026808689391646885,Colombo Proper,2019-01-19,2019-01-20,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.00026808689391646885,,,
0.0001687856216479,Colombo Proper,2019-01-20,2019-01-21,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,7.15e-05,,,
0.00026808689391646885,Colombo Proper,2019-01-21,2019-01-22,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.00026808689391646885,,,
0.00026808689391646885,Colombo Proper,2019-01-22,2019-01-23,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000265941,,,
0.0002147798144691,Colombo Proper,2019-01-23,2019-01-24,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,5.86e-05,,,
0.000234724519641,Colombo Proper,2019-01-24,2019-01-25,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,-3.94e-06,,,
0.00026808689391646885,Colombo Proper,2019-01-25,2019-01-26,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000109293,,,
0.0002507263493088,Colombo Proper,2019-01-26,2019-01-27,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,7.04e-05,,,
0.0001973288435314,Colombo Proper,2019-01-27,2019-01-28,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000164706,,,
0.0002555121674807,Colombo Proper,2019-01-28,2019-01-29,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000113018,,,
0.0002555121674807,Colombo Proper,2019-01-29,2019-01-30,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000114127,,,
0.000171363573601,Colombo Proper,2019-01-30,2019-01-31,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,-2.6519406848533556e-05,,,
0.0001523802119023,Colombo Proper,2019-01-31,2019-02-01,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,1.51e-05,,,
0.00026808689391646885,Colombo Proper,2019-02-01,2019-02-02,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,9.51e-05,,,
0.00026808689391646885,Colombo Proper,2019-02-02,2019-02-03,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,3.07e-05,,,
0.0002318846498078,Colombo Proper,2019-02-03,2019-02-04,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,3.07e-05,,,
0.0002318846498078,Colombo Proper,2019-02-04,2019-02-05,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,3.07e-05,,,
0.00026808689391646885,Colombo Proper,2019-02-05,2019-02-06,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,3.07e-05,,,
0.00026808689391646885,Colombo Proper,2019-02-06,2019-02-07,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,3.52e-05,,,
0.0002123314538243,Colombo Proper,2019-02-07,2019-02-08,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,0.000144733,,,
0.0001679798012516,Colombo Proper,2019-02-08,2019-02-09,0.0001615162895245128,0.00014218384541375088,0.00014404790125094232,7.65e-05,,,
